Age,Income,Credit_Score,Credit_Utilization,Missed_Payments,Loan_Balance,Debt_to_Income_Ratio,Account_Tenure,Payment_Risk_Score,Consecutive_Miss,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Employment_Status_Retired,Employment_Status_Self-employed,Employment_Status_Unemployed,Credit_Card_Type_Gold,Credit_Card_Type_Platinum,Credit_Card_Type_Standard,Credit_Card_Type_Student,Customer_ID,Risk_Score,Delinquent_Account,Top_Risk_Factor
0.37095755,0.16352645,-0.3023699,-0.14019576,-0.2367565,-0.22971213,-0.22066304,-1.1070448,0.18358141,-0.02984934,-0.25765425,0.28183654,-0.7606404,0.22111797,-1.208359,-0.37981325,-0.032290626,-0.049808886,-0.18745762,-0.38038608,-0.21822467,-0.026135255,0.07300836,CUST0001,0.05630157,0,Month_5
-1.2483276,-0.22603656,-0.04045996,-0.28029668,-0.8199123,-0.5065413,-0.19491859,-0.40900603,-0.014322743,-0.04179512,-0.2636691,-1.0607157,0.069301344,-0.7190663,0.14608358,0.311589,-0.123257495,0.35379806,-0.10104217,-0.15088607,-0.046685163,0.047577545,-0.33123767,CUST0002,0.018064473,1,Age
0.21830568,0.22759013,0.00092152134,-0.070747346,0.40867236,0.010224787,0.018278347,-0.44791818,0.22913203,0.026772441,-0.1511462,0.39469624,0.141094,0.09876783,-1.4133828,-0.08733741,-0.027584126,0.19416863,-0.08847396,-0.22935204,0.25122547,-0.0031331156,-0.36019835,CUST0003,0.7300398,0,Month_5
-0.94237053,-0.13421947,-0.15219183,-0.15307526,-0.16172117,-0.64640665,-0.29528627,-0.7304477,0.09831777,0.0195342,-0.38687816,-1.8196856,0.07075498,-0.6480566,0.105684355,-0.22976032,-0.12808791,-0.13996227,-0.09376649,-0.28042394,0.45485255,-0.0050048376,-0.29239303,CUST0004,0.007873521,0,Month_2
-0.2947434,-0.69381857,-0.3658322,-2.7627885,-0.02863702,-0.17277104,-0.286238,0.13372812,0.096752696,0.024739828,-0.41645116,0.2847696,-1.2878051,0.255851,0.121281,-0.25625303,-0.037506837,0.15059268,-0.16585211,-0.06955136,-0.039720304,0.043809127,-0.13065073,CUST0005,0.0141631495,0,Credit_Utilization
-1.2026007,-0.7049277,-0.034960676,-0.08752568,-1.0539262,-0.27447814,-0.28463984,-0.17410924,0.03820179,0.032590233,0.06381281,-0.02726972,-0.30428618,-0.7525052,-1.9796464,-0.19514531,-0.021503162,-0.041163456,0.06147069,0.4730311,-0.1444097,-0.0035218932,-0.2946063,CUST0006,0.0051794206,0,Month_5
-0.48640567,-0.3996577,-0.4097573,0.06827592,-0.17468093,0.22734602,-0.27823466,-0.2823139,0.057557113,0.017076844,0.31213602,-1.6884935,-0.8678121,0.08568863,-0.9406941,-0.1267703,-0.082729496,-0.05317408,-0.054765932,-0.005940332,0.29329687,-0.0046872604,-0.27686793,CUST0007,0.03175737,0,Month_2
0.2748507,0.147313,-0.21805578,-0.3120707,-0.20910223,-0.37461984,-0.2724197,-0.3695613,-0.21924452,0.0774342,-0.0356043,0.17462164,0.12355333,0.24839438,-1.9275372,-0.41476342,-0.0273761,-0.067233704,-0.13956119,-0.41477796,-0.119972676,-0.022606881,0.46128917,CUST0008,0.121020354,0,Month_5
-0.2997238,-0.009452567,0.111195795,0.69508773,-0.0026662438,-0.010671496,-0.0063092965,0.4458738,-0.1310756,-0.16641198,0.4141914,0.4757924,0.33371937,-0.98398054,0.28642073,0.40532452,-0.040978137,-0.04631355,-0.006298654,-0.20742714,-0.12170942,-0.022723775,0.6300635,CUST0009,0.9675848,1,Month_4
-1.3453403,-0.82793933,-0.023598166,-0.09707987,-0.2615233,-0.05307064,-0.18093817,-0.08865497,-0.022158261,0.023957271,0.4889315,-1.001282,-1.0509665,-0.12850088,-0.9826362,-0.41866714,-0.12058515,-0.06514735,-0.12076218,-0.08519714,-0.09897575,-0.0052836086,-0.17984891,CUST0010,0.006752814,0,Age
-1.5483307,-0.7020338,-0.29877508,-0.17659402,-0.024875274,-0.43195504,-0.11141423,-0.21778326,0.11267409,0.02504728,0.36227995,0.13243125,-0.88615817,-0.52853185,0.23304065,-0.15785637,-0.025317058,-0.062451106,0.11645087,-0.13613236,-0.2317006,-0.028272351,0.2307797,CUST0011,0.06290091,0,Age
